sample_id,spin_speed_rpm,antisolvent_tip_height_mm,antisolvent_volume_uL,antisolvent_drop_time_s,film_thickness_nm,pl_intensity_au
S001,3500,2,100,9,497.3,352319
S002,4000,2,60,7,447.9,360404
S003,4000,1,60,5,453.4,437965
S004,3000,2,100,5,527.4,386167
S005,3000,2,80,9,493.2,314928
S006,3500,1,120,7,473.5,397186
S007,3500,5,100,11,472.9,260649
S008,5000,2,60,7,384.7,384819
S009,3500,0.5,80,9,487.5,367848
S010,4000,5,60,9,442.8,293061
S011,4000,3,60,3,456.6,404423
S012,5000,1,80,7,367.5,443689
S013,4000,2,80,3,444.4,425335
S014,4500,1,120,9,411.8,432143
S015,4000,3,100,5,449.4,402021
S016,5000,0.5,100,9,410.3,514791
S017,5000,1,80,5,356.3,470678
S018,4000,3,100,3,424.6,402004
S019,4500,3,120,9,414.0,432529
S020,3000,5,120,9,514.3,266609
S021,4000,10,80,9,413.6,162421
S022,4500,0.5,60,7,392.0,414852
S023,4500,10,80,9,395.0,188926
S024,5000,5,100,9,341.9,328725
S025,3000,0.5,120,9,560.1,365177
S026,3000,3,100,7,508.5,369412
S027,3000,5,120,7,572.5,273226
S028,4500,2,60,5,403.1,414514
S029,4000,2,100,11,475.7,346289
S030,3000,1,120,11,522.1,380101
S031,3500,3,80,7,494.0,325725
S032,3500,10,60,7,484.9,108752
S033,3000,5,80,11,522.2,217139
S034,4000,5,80,7,451.7,296783
S035,3500,10,120,3,494.5,257280
S036,3500,2,120,3,489.5,442739
S037,4500,0.5,80,9,409.9,428502
S038,4500,3,60,7,397.5,370963
S039,4500,1,80,5,407.4,498050
S040,3500,1,120,3,512.2,468489
S041,3500,1,100,5,474.8,397527
S042,3000,5,100,11,545.1,248780
S043,4000,1,60,3,455.7,386619
S044,4500,10,100,5,423.8,256997
S045,5000,3,120,5,352.2,456626
S046,3000,1,100,3,530.2,416154
S047,4000,10,60,3,443.3,197723
S048,4500,2,60,7,405.0,392356
S049,3500,5,120,9,510.5,249534
S050,3000,1,100,7,522.2,382883
S051,3500,1,60,3,491.7,391818
S052,3500,5,100,9,458.9,293216
S053,5000,10,80,11,397.6,164255
S054,5000,5,100,11,383.8,335772
S055,3500,1,100,3,486.0,416836
S056,4500,0.5,100,9,403.6,477101
S057,4500,1,120,3,418.3,548111
S058,3000,3,80,11,544.8,282660
S059,4500,0.5,60,3,436.9,472158
S060,3500,10,60,3,500.2,168475
S061,4000,10,60,5,449.1,166657
S062,4000,3,60,9,463.8,295077
S063,4000,1,80,5,460.5,422806
S064,4500,2,60,9,427.7,387519
S065,3500,1,60,9,516.1,362077
S066,3000,3,60,3,500.8,323527
S067,3000,0.5,120,11,507.2,364098
S068,3500,1,120,5,511.2,456026
S069,5000,1,120,7,358.8,476698
S070,4000,5,120,5,448.5,340236
S071,4000,1,120,7,437.3,455864
S072,3500,1,100,7,505.5,417393
S073,5000,3,120,9,333.3,437696
S074,4500,10,120,3,410.2,294106
S075,4000,2,80,11,473.9,302609
S076,4000,5,80,5,438.5,340000
S077,3500,10,100,3,461.7,247471
S078,4500,2,60,3,414.9,443625
S079,3000,5,60,7,516.9,256903
S080,4000,1,100,11,465.1,398123
S081,3500,2,80,11,490.8,328948
S082,4500,10,120,5,395.2,263754
S083,5000,2,120,11,367.6,446435
S084,4000,10,60,11,464.0,104712
S085,4000,0.5,80,11,446.0,418092
S086,5000,5,80,9,358.1,322910
S087,3000,10,120,5,529.2,210576
S088,3500,10,80,11,487.2,152237
S089,3000,2,100,7,539.7,372520
S090,4000,2,120,9,456.9,457208
S091,3000,1,120,9,522.7,336923
S092,3000,10,60,3,551.7,139931
S093,4000,2,100,9,449.7,414810
S094,3500,10,100,9,461.4,133464
S095,4000,0.5,60,5,422.4,402029
S096,3500,1,60,5,494.0,393532
S097,3000,2,80,7,530.4,302919
S098,3000,1,120,3,489.0,436196
S099,4500,10,60,3,401.5,235106
S100,4500,0.5,120,3,420.2,525541
S101,5000,2,80,9,382.2,421043
S102,3500,5,60,9,495.5,230497
S103,4500,3,100,7,406.1,408329
S104,4000,10,120,11,461.1,179338
S105,3500,10,80,5,495.3,171152
S106,5000,3,100,9,368.1,429249
S107,4500,2,100,9,377.1,382478
S108,3000,0.5,60,9,502.3,282160
S109,3500,3,100,3,476.1,406488
S110,5000,0.5,80,9,365.4,457851
S111,3000,5,100,9,543.4,290209
S112,5000,2,60,11,368.9,407779
S113,3500,3,100,5,488.5,353577
S114,4000,10,100,5,438.5,189428
S115,4000,5,120,7,433.8,341124
S116,5000,5,100,5,382.9,434857
S117,3500,10,120,5,464.9,225642
S118,4000,5,60,5,431.4,317443
S119,4000,0.5,80,5,445.9,399220
S120,4000,0.5,60,3,462.9,424190
S121,3500,5,120,5,478.5,318465
S122,4000,2,60,11,437.5,337414
S123,4500,10,80,3,406.0,252231
S124,3000,3,100,3,531.8,394055
S125,4500,3,80,3,403.5,387509
S126,3500,2,60,11,504.1,295707
S127,5000,2,60,5,387.8,440434
S128,3500,3,80,11,484.9,305673
S129,4000,1,60,9,479.2,416694
S130,3500,0.5,60,5,488.1,398024
S131,3000,10,80,9,543.2,97395
S132,4500,5,100,7,414.3,353431
S133,3500,3,120,11,492.0,319666
S134,4000,3,100,11,422.6,297394
S135,3000,0.5,100,7,508.1,381409
S136,5000,2,100,11,365.3,460619
S137,3500,3,60,7,504.7,292834
S138,4000,5,120,3,453.6,376044
S139,4500,1,100,7,404.5,458077
S140,4500,1,120,11,418.9,430536
S141,5000,0.5,60,7,387.0,426377
S142,4000,5,100,7,448.1,386149
S143,5000,3,120,7,373.6,480531
S144,4000,5,120,11,449.5,325777
S145,3500,5,100,3,486.1,336251
S146,3000,10,120,11,513.5,147467
S147,4000,3,60,11,434.4,317643
