spin_speed_rpm,film_thickness_nm
522.4,459.4
539.8,381.8
555.4,445.1
582.5,426.2
644.3,431.9
650.9,414.9
655.0,427.8
657.9,386.1
661.8,419.3
663.2,403.7
693.1,511.2
711.4,434.7
723.4,401.0
748.6,391.8
750.3,452.1
758.9,361.9
773.7,417.8
774.4,376.0
774.6,393.5
788.0,390.2
812.6,433.2
825.2,461.5
836.9,396.2
850.7,394.1
883.6,376.4
895.2,365.5
917.4,404.2
918.5,378.7
958.2,409.0
964.9,423.8
976.5,387.8
979.0,408.5
1001.4,386.4
1018.6,387.5
1029.0,407.5
1037.1,363.1
1037.6,313.1
1048.2,393.0
1063.6,392.5
1075.5,313.2
1099.5,381.1
1109.4,365.9
1117.5,370.5
1118.6,338.1
1134.6,368.3
1149.0,369.1
1158.9,372.1
1169.6,379.0
1173.2,361.7
1185.8,356.4
1187.2,351.5
1194.8,364.4
1199.4,369.9
1214.6,354.0
1220.9,342.2
1225.3,347.4
1240.5,363.7
1253.0,341.9
1259.7,385.8
1285.8,392.1
1287.9,365.5
1288.2,319.9
1293.6,322.2
1299.9,344.7
1307.0,295.4
1317.9,346.0
1323.9,352.2
1325.3,333.8
1336.8,352.0
1349.6,315.3
1378.9,311.8
1386.9,347.0
1395.2,297.6
1412.7,329.0
1422.5,324.8
1427.8,349.9
1455.0,349.2
1455.8,325.6
1467.0,353.4
1469.9,312.7
1473.9,312.5
1482.0,359.2
1500.0,324.1
1519.7,308.5
1528.9,328.1
1530.5,332.6
1559.7,284.8
1573.9,297.2
1617.1,345.4
1624.6,300.8
1625.4,297.3
1632.5,261.9
1642.8,354.4
1650.7,270.6
1683.8,304.0
1700.6,295.0
1704.6,271.9
1714.6,305.9
1729.0,264.6
1734.5,325.6
1740.8,273.9
1766.1,294.3
1788.5,270.3
1794.1,281.0
1818.4,282.6
1837.9,276.3
1843.2,296.2
1846.5,337.5
1871.9,285.8
1876.9,271.5
1881.5,257.2
1883.0,288.3
1889.7,256.3
1892.6,257.2
1894.8,283.6
1904.5,277.6
1907.4,275.8
1910.4,237.6
1934.2,255.1
1941.5,275.0
1947.6,258.9
1958.1,241.9
1972.0,279.1
1977.1,290.6
2006.3,274.5
2011.0,272.9
2018.1,258.1
2027.9,258.8
2037.1,284.4
2045.8,238.8
2046.3,244.9
2093.5,247.2
2116.2,262.3
2136.6,256.0
2139.7,255.3
2144.6,266.6
2152.7,251.9
2178.5,251.3
2185.3,224.2
2185.4,230.4
2189.7,228.9
2194.1,245.2
2214.3,226.6
2229.0,239.9
2229.9,231.0
2251.7,218.0
2266.4,215.7
2282.9,240.6
2328.9,226.0
2366.9,235.6
2383.6,182.9
2398.5,192.3
2400.3,244.5
2415.0,206.9
2417.1,220.6
2435.0,226.6
2455.1,190.4
2474.2,165.6
2511.5,198.5
2517.9,183.9
2522.5,199.1
2524.1,199.2
2526.3,218.9
2559.2,187.7
2563.0,174.3
2567.9,201.5
2593.1,192.8
2594.9,184.1
2609.9,175.1
2628.5,186.9
2630.1,186.4
2636.6,150.8
2653.8,200.7
2688.1,181.8
2720.2,166.4
2750.5,171.8
2798.9,158.3
2816.3,153.5
2827.7,153.5
2830.9,152.7
2856.2,146.1
2861.3,170.8
2871.3,138.8
2888.2,129.7
2891.2,158.2
2896.0,163.9
2909.7,142.2
2918.8,161.8
2921.9,158.1
2924.4,140.5
2935.2,129.3
2939.5,158.0
2953.6,146.6
2958.8,129.8
2972.2,140.6
2972.4,148.5
2975.5,129.7
2986.1,144.7
2990.3,154.4
2992.7,134.2
